price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus_semi-furnished,furnishingstatus_unfurnished,area_per_bathroom,area_per_bedroom
12250000,8960,4,4,4,1,0,0,0,1,3,0,False,False,0.1111111111111111,0.2989226563756231
12250000,9960,3,2,2,1,0,1,0,0,2,1,True,False,0.33333333333333337,0.4725840167229458
12215000,7500,4,2,2,1,0,1,0,1,3,1,False,False,0.23357664233576644,0.2402315484804631
11410000,7420,4,1,2,1,1,1,0,1,2,0,False,False,0.5312246553122465,0.23701559736292008
10850000,7500,3,3,1,1,0,1,0,1,2,1,True,False,0.13219789132197893,0.3407300209036822
10150000,8580,4,3,4,1,0,0,0,1,2,1,True,False,0.16139497161394972,0.2836468885672938
9870000,8100,4,1,2,1,1,1,0,1,2,1,False,False,0.5863746958637469,0.26435118186203566
9800000,5750,3,2,4,1,1,0,0,1,1,1,False,True,0.16261151662611517,0.24693144664201103
9800000,13200,3,1,2,1,0,1,0,1,2,1,False,False,1.0,0.6462453770702685
9681000,6000,4,3,2,1,1,1,1,0,2,0,True,False,0.0916463909164639,0.1799324650265316
9310000,6550,4,2,2,1,0,0,0,1,1,1,True,False,0.19505271695052714,0.20204212895963983
9240000,3500,4,2,2,1,0,0,1,0,2,0,False,False,0.07137064071370641,0.07943399260331244
9240000,7800,3,2,2,1,0,0,0,0,0,1,True,False,0.24574209245742093,0.35680977649139733
9100000,6000,4,1,2,1,0,1,0,0,2,0,True,False,0.416058394160584,0.1799324650265316
9100000,6600,4,2,2,1,1,1,0,1,1,1,False,True,0.19708029197080293,0.2040520984081042
8960000,8500,3,2,4,1,0,0,0,1,2,0,False,False,0.2741281427412814,0.3943292061960658
8890000,4600,3,2,2,1,1,0,0,1,2,0,False,False,0.1159772911597729,0.18529238355576994
8855000,6420,3,2,2,1,0,0,0,1,1,1,True,False,0.18978102189781024,0.28284290078790797
8750000,4320,3,1,2,1,0,1,1,0,2,0,True,False,0.2798053527980535,0.17028461167390255
8680000,7155,3,2,1,1,1,1,0,1,2,0,False,True,0.21958637469586376,0.3222383019778099
8645000,8050,3,1,1,1,1,1,0,1,1,0,False,False,0.5823195458231955,0.3702095728144932
8645000,4560,3,2,2,1,1,1,0,1,1,0,False,False,0.11435523114355231,0.1831484161440746
8575000,8800,3,2,2,1,0,0,0,1,2,0,False,False,0.2862935928629359,0.41040896178378095
8540000,6540,4,2,2,1,1,1,0,1,2,1,False,False,0.19464720194647203,0.2016401350699469
8463000,6000,3,2,4,1,1,1,0,1,0,1,True,False,0.17274939172749393,0.2603312429651069
8400000,8875,3,1,1,1,0,0,0,0,1,0,True,False,0.6492295214922952,0.4144289006807097
8400000,7950,5,2,2,1,0,1,1,0,2,0,False,True,0.25182481751824815,0.19440424505547513
8400000,5500,4,2,2,1,0,1,0,1,1,1,True,False,0.15247364152473641,0.15983277054188777
